Sensor	X	Z	Frame
1	0	3850	2
2	331,2	3850	
3	662,4	3850	
4	834,9	3850	
5	0	4090	3
6	364,9	4090	
7	729,8	4090	
8	915,4	4090	
9	0	4330	4
10	398,7	4330	
11	797,8	4330	
12	995,2	4330	
13	0	4566	5
14	429,4	4566	
15	858,8	4566	
16	1067,5	4566	
17	0	4762	6
18	459,8	4762	
19	919,7	4762	
20	1138,5	4762	
21	0	4967	7
22	488,6	4967	
23	977,1	4967	
24	1205,4	4967	
25	0	5194	8
26	520,6	5194	
27	1041,3	5194	
28	1279,8	5194	
29	0	5394	9
30	548,7	5394	
31	1097,4	5394	
32	1349,9	5394	
33	0	5594	10
34	556,1	5594	
35	1112,1	5594	
36	1366,4	5594	
37	0	5793	11
38	563,4	5793	
39	1126,8	5793	
40	1383	5793	
41	0	6052	12
42	572,8	6052	
43	1145,6	6052	
44	1403,9	6052	
45	0	6311	13
46	582,5	6311	
47	1164,9	6311	
48	1425,6	6311	
49	0	6569,5	14
50	591,8	6569,5	
51	1183,7	6569,5	
52	1446,5	6569,5	
53	0	6828	15
54	601,2	6828	
55	1202,4	6828	
56	1467,3	6828	
57	0	7086,6	16
58	610,5	7086,6	
59	1221,1	7086,6	
60	1488,1	7086,6	
61	0	7318	17
62	619,2	7318	
63	12238,5	7318	
64	1507,4	7318	
65	0	7599	18
66	629,6	7599	
67	1259,2	7599	
68	1530,4	7599	
69	0	7830	19
70	637,9	7830	
71	1275,9	7830	
72	1554,2	7830	
73	0	8077,2	20
74	647	8077,2	
75	1239,9	8077,2	
76	1568,9	8077,2	
77	0	8432,6	21
78	660	8432,6	
79	1320	8432,6	
80	1603	8432,6	
81	0	8966,2	23
82	660	8966,2	
83	1320	8966,2	
84	1603	8966,2	
85	0	9499,6	24
86	660	9499,6	
87	1320	9499,6	
88	1603	9499,6	
89	0	10033	25
90	660	10033	
91	1320	10033	
92	1603	10033	
93	0	10566,4	26
94	660	10566,4	
95	1320	10566,4	
96	1603	10566,4	
97	0	11099,8	27
98	660	11099,8	
99	1320	11099,8	
100	1603	11099,8	
101	0	11633,2	28
102	660	11633,2	
103	1320	11633,2	
104	1603	11633,2	
105	0	12166,6	29
106	660	12166,6	
107	1320	12166,6	
108	1603	12166,6	
109	0	12700	30
110	660	12700	
111	1320	12700	
112	1603	12700	
113	0	13233,4	31
114	660	13233,4	
115	1320	13233,4	
116	1603	13233,4	
117	0	13766,8	32
118	660	13766,8	
119	1320	13766,8	
120	1603	13766,8	
121	0	14300,2	33
122	660	14300,2	
123	1320	14300,2	
124	1603	14300,2	
125	0	14833,6	34
126	660	14833,6	
127	1320	14833,6	
128	1603	14833,6	
129	0	15367	35
130	660	15367	
131	1320	15367	
132	1603	15367	
133	0	15900,4	36
134	660	15900,4	
135	1320	15900,4	
136	1603	15900,4	
137	0	16409,4	37
138	660	16409,4	
139	1320	16409,4	
140	1603	16409,4	
141	0	16687,8	38
142	660	16687,8	
143	1320	16687,8	
144	1603	16687,8	
145	0	17294,7	39
146	660	17294,7	
147	1320	17294,7	
148	1603	17294,7	
149	0	17534,1	40
150	660	17534,1	
